title,doi,year,itemtype,isbn,topics,Authorinfo ->,ut_authors,ut_groups,is_eemcs?,is_ee?,is_tcs?,ut_corresponding_author,all_authors,Openaccessinfo ->,is_openaccess,openaccess_type,found_as_green,present_in_pure,license,URLs ->,primary_link,pdf_link_primary,best_oa_link,pdf_link_best_oa,other_oa_links,openalex_url,pure_page_link,pure_file_link,scopus_link,Journalinfo ->,journal,journal_issn,journal_e_issn,journal_publisher,volume,issue,pages,pagescount,MUS links ->,mus_paper_details,mus_api_url_paper,mus_api_url_pure_entry,mus_api_url_pure_report_details
BGP Anycast Tuner: Intuitive Route Management for Anycast Services,https://doi.org/10.23919/cnsm50824.2020.9269102,2020,proceedings-article,978-3-903176-31-7,,,Cristian Hesselman | Roland van Rijswijk-Deij,DACS,True,True,True,,Leandro Márcio Bertholdo | João Marcelo Ceron | Cristian Hesselman | Giovane C. M. Moura | Roland van Rijswijk-Deij | Lisandro Zambenedetti Granville,,True,green,False,True,,,https://doi.org/10.23919/cnsm50824.2020.9269102,,https://zenodo.org/record/4311841,https://zenodo.org/records/4311841/files/BGP%20Anycast%20Tuner-%20Intuitive%20Route%20Management%20for%20Anycast%20Services.pdf,,https://openalex.org/W3100524729,https://research.utwente.nl/en/publications/935458f4-31cc-40ab-9e6a-049e805376ff,https://ris.utwente.nl/ws/files/267923733/Bertholdo2020bgp.pdf,,,,,,,,,,,,https://openalex.samuelmok.cc/paper/33729,https://openalex.samuelmok.cc/api/paper/33729,https://openalex.samuelmok.cc/api/pureentry/88053,https://openalex.samuelmok.cc/api/pilotpure/9461
Analysis of the Transformer Modularization for High Frequency Isolated High Voltage Generator with the Silicon Carbide Devices,https://doi.org/10.23919/epe20ecceeurope43536.2020.9215794,2020,proceedings-article,978-1-7281-9807-1,,,J.A. Ferreira,SCS,True,False,True,,J.A. Ferreira | Jelena Popović | Saijun Mao,,False,closed,False,True,,,https://doi.org/10.23919/epe20ecceeurope43536.2020.9215794,,,,,https://openalex.org/W3091771351,https://research.utwente.nl/en/publications/0081f972-7cb9-4ec5-9c95-b8fb59ccd395,https://ris.utwente.nl/ws/files/250933937/Mao2020analysis.pdf,,,,,,,,,,,,https://openalex.samuelmok.cc/paper/33748,https://openalex.samuelmok.cc/api/paper/33748,https://openalex.samuelmok.cc/api/pureentry/88543,https://openalex.samuelmok.cc/api/pilotpure/12141
In-Depth Evaluation of Redirect Tracking and Link Usage,https://doi.org/10.2478/popets-2020-0079,2020,journal-article,,,,Erik Tews,SCS,True,False,True,,Erik Tews | Stefan Katzenbeisser | Martin Koop,,True,hybrid,True,True,cc-by-nc-nd,,https://doi.org/10.2478/popets-2020-0079,https://www.sciendo.com/pdf/10.2478/popets-2020-0079,https://doi.org/10.2478/popets-2020-0079,https://www.sciendo.com/pdf/10.2478/popets-2020-0079,https://research.utwente.nl/en/publications/93bdd831-dd64-4690-8336-380d3b3ffe88 | https://ris.utwente.nl/ws/files/299621021/popets_2020_0079.pdf,https://openalex.org/W3082521871,https://research.utwente.nl/en/publications/93bdd831-dd64-4690-8336-380d3b3ffe88,https://ris.utwente.nl/ws/files/299621021/popets_2020_0079.pdf,,,Proceedings on Privacy Enhancing Technologies,2299-0984,,,2020,4,394-413,20,,https://openalex.samuelmok.cc/paper/33866,https://openalex.samuelmok.cc/api/paper/33866,https://openalex.samuelmok.cc/api/pureentry/91687,https://openalex.samuelmok.cc/api/pilotpure/8893
ARCH-COMP20 Category Report: Stochastic Models,https://doi.org/10.29007/mqzc,2020,proceedings-article,,Process Fault Detection and Diagnosis in Industries | Software Reliability Assessment and Prediction | Formal Methods in Software Verification and Control,,Arnd Hartmanns | Anne Remke,FMT,True,False,True,,Arnd Hartmanns | Anne Remke | Alessandro Abate | H.A.P. Blom | Nathalie Cauchi | Joanna Delicaris | Mahmoud Khaled | Abolfazl Lavaei | Carina Pilch | Stefan Schupp | Fedor Shmarov | Sadegh Soudjani | Abraham P. Vinod | Ben Wooding | Majid Zamani | Paolo Zuliani,,True,bronze,,True,,,https://doi.org/10.29007/mqzc,https://easychair.org/publications/open/VLXl,https://doi.org/10.29007/mqzc,https://easychair.org/publications/open/VLXl,https://research.utwente.nl/en/publications/307fa669-bb62-4269-99bf-f889de5ff745 | https://ris.utwente.nl/ws/files/295756466/report.pdf | https://pure.tue.nl/ws/files/246773404/ARCH_COMP22_Category_Report_Stochastic_Models.pdf | https://research.tue.nl/nl/publications/802c9816-7c8e-413f-be25-3d73d3f9339a | https://research.tue.nl/files/246773404/ARCH_COMP22_Category_Report_Stochastic_Models.pdf | https://research.utwente.nl/en/publications/b58dac79-4d7e-4881-ba00-d7bfd71babf9 | https://ris.utwente.nl/ws/files/275756070/ARCH_COMP21_Category_Report_Stochastic_Models.pdf | https://research.utwente.nl/en/publications/704e059e-5e36-4ed0-84c6-760f52342c89 | https://research.utwente.nl/files/265123067/Abate_Arch_comp_category_report_stochasti.pdf,https://openalex.org/W3095197092,https://research.utwente.nl/en/publications/704e059e-5e36-4ed0-84c6-760f52342c89,https://ris.utwente.nl/ws/files/265123067/Abate_Arch_comp_category_report_stochasti.pdf,,,EPiC series in computing,2398-7340,,,,,,,,https://openalex.samuelmok.cc/paper/39436,https://openalex.samuelmok.cc/api/paper/39436,https://openalex.samuelmok.cc/api/pureentry/91643,https://openalex.samuelmok.cc/api/pilotpure/9514
The penetration of Internet of Things in robotics: Towards a web of robotic things,https://doi.org/10.3233/ais-200582,2020,journal-article,,Internet of Things and Edge Computing | Cloud Robotics and Automation Research | Self-Reconfigurable Robotic Systems and Modular Robotics | Activity Recognition in Pervasive Computing Environments | Wireless Home Automation Systems,,Nicolò Botteghi | Andreas Kamilaris,PS,True,False,True,Andreas Kamilaris,Nicolò Botteghi | Andreas Kamilaris,,True,green,True,True,,,https://doi.org/10.3233/ais-200582,,https://zenodo.org/record/4580171,https://zenodo.org/records/4580171/files/2001.05514.pdf,https://ris.utwente.nl/ws/files/251826239/Kamilaris2020penetration.pdf | https://research.utwente.nl/en/publications/the-penetration-of-internet-of-things-in-robotics(eea125b9-c754-4dcd-827a-a5c5702fbaf8).html | https://ris.utwente.nl/ws/files/250821700/Kamilaris_2020_The_penetration_of_internet_of_thin.pdf | https://arxiv.org/abs/2001.05514 | https://arxiv.org/pdf/2001.05514 | https://research.utwente.nl/en/publications/32a78665-3c99-4fa5-93d1-46f669529fbf | https://ris.utwente.nl/ws/files/183721377/arXiv_2001.05514.pdf,https://openalex.org/W3098223483,https://research.utwente.nl/en/publications/eea125b9-c754-4dcd-827a-a5c5702fbaf8,https://ris.utwente.nl/ws/files/250821700/Kamilaris_2020_The_penetration_of_internet_of_thin.pdf,,,Journal of Ambient Intelligence and Smart Environments,1876-1364,1876-1372,IOS Press,12,6,491-512,22,,https://openalex.samuelmok.cc/paper/34300,https://openalex.samuelmok.cc/api/paper/34300,https://openalex.samuelmok.cc/api/pureentry/88059 | https://openalex.samuelmok.cc/api/pureentry/91006,https://openalex.samuelmok.cc/api/pilotpure/9706 | https://openalex.samuelmok.cc/api/pilotpure/9960
SAREF4health: Towards IoT standard-based ontology-driven cardiac e-health systems,https://doi.org/10.3233/ao-200232,2020,journal-article,,,,João Luiz Rebelo Moreira | Luís Ferreira Pires | Marten van Sinderen,SCS,True,False,True,João Luiz Rebelo Moreira,Laura Daniele | João Luiz Rebelo Moreira | Luís Ferreira Pires | Marten van Sinderen | Marc Girod-Genet,,True,hybrid,True,True,unspecified-oa,,https://doi.org/10.3233/ao-200232,https://content.iospress.com:443/download/applied-ontology/ao200232?id=applied-ontology%2Fao200232,https://doi.org/10.3233/ao-200232,https://content.iospress.com:443/download/applied-ontology/ao200232?id=applied-ontology%2Fao200232,https://research.utwente.nl/en/publications/9c5caedf-740c-4ab6-a490-21e0ac71ae37 | https://research.utwente.nl/files/255688211/Moreira2020saref4health.pdf,https://openalex.org/W3034193744,https://research.utwente.nl/en/publications/9c5caedf-740c-4ab6-a490-21e0ac71ae37,https://ris.utwente.nl/ws/files/255688211/Moreira2020saref4health.pdf,http://www.scopus.com/inward/record.url?scp=85090406244&partnerID=8YFLogxK,,Applied Ontology,1570-5838,1875-8533,IOS Press,15,3,385-410,26,,https://openalex.samuelmok.cc/paper/34306,https://openalex.samuelmok.cc/api/paper/34306,https://openalex.samuelmok.cc/api/pureentry/91157,https://openalex.samuelmok.cc/api/pilotpure/9856
Cross disciplinary overtures with interview data: Integrating digital practices and tools in the scholarly workflow,https://doi.org/10.3384/ecp2020172015,2020,proceedings-article,,Secondary Analysis of Qualitative Data,,Arjan van Hessen,HMI,True,False,True,,Arjan van Hessen | Jeannine Beeken | Max Broekhuizen | Silvia Calamai | Louise Corti | Christoph Draxler | Norah Karrouche | Stefania Scagliola | Khiet Truongz | H. van den Heuvel,,True,bronze,,,,,https://doi.org/10.3384/ecp2020172015,http://www.ep.liu.se/ecp/172/015/ecp20172015.pdf,https://doi.org/10.3384/ecp2020172015,http://www.ep.liu.se/ecp/172/015/ecp20172015.pdf,http://repository.essex.ac.uk/29214/1/CLARIN_ecp20172015.pdf | https://repository.ubn.ru.nl//bitstream/handle/2066/213463/213463.pdf | http://hdl.handle.net/2066/213463 | https://repository.ubn.ru.nl/bitstream/handle/2066/213463/1/213463.pdf | http://hdl.handle.net/11365/1128889 | https://usiena-air.unisi.it/bitstream/11365/1128889/1/ecp20172015.pdf,https://openalex.org/W2996866148,,,,,Linköping electronic conference proceedings,1650-3686,1650-3740,,,,,,,https://openalex.samuelmok.cc/paper/39473,https://openalex.samuelmok.cc/api/paper/39473,,
"Physiological Synchrony in EEG, Electrodermal Activity and Heart Rate Detects Attentionally Relevant Events in Time",https://doi.org/10.3389/fnins.2020.575521,2020,journal-article,,Brain-Computer Interfaces in Neuroscience and Medicine | Neural Mechanisms of Cognitive Control and Decision Making | Neuronal Oscillations in Cortical Networks | Emotion Recognition and Analysis in Multimodal Data | Embodied Cognition and Social Interaction,,Jan B. F. van Erp,HMI,True,False,True,,Ivo V. Stuldreher | Nattapong Thammasan | Jan B. F. van Erp | Anne-Marie Brouwer,,True,gold,True,True,cc-by,,https://doi.org/10.3389/fnins.2020.575521,https://www.frontiersin.org/articles/10.3389/fnins.2020.575521/pdf,https://doi.org/10.3389/fnins.2020.575521,https://www.frontiersin.org/articles/10.3389/fnins.2020.575521/pdf,https://research.utwente.nl/en/publications/0a10a4d9-5ae5-47f1-a59c-4298e3452da6 | https://ris.utwente.nl/ws/files/249041230/Stuldreher2020physiological.pdf | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7744592,https://openalex.org/W3108028715,https://research.utwente.nl/en/publications/0a10a4d9-5ae5-47f1-a59c-4298e3452da6,https://ris.utwente.nl/ws/files/249041230/Stuldreher2020physiological.pdf,http://www.scopus.com/inward/record.url?scp=85097829285&partnerID=8YFLogxK,,Frontiers in Neuroscience,1662-453X,1662-4548,Frontiers Media SA,14,,,,,https://openalex.samuelmok.cc/paper/34652,https://openalex.samuelmok.cc/api/paper/34652,https://openalex.samuelmok.cc/api/pureentry/87874,https://openalex.samuelmok.cc/api/pilotpure/9767
Emotional State During Tasting Affects Emotional Experience Differently and Robustly for Novel and Familiar Foods,https://doi.org/10.3389/fpsyg.2020.558172,2020,journal-article,,,,Jan B. F. van Erp,HMI,True,False,True,,Jan B. F. van Erp | A. Brouwer | Maarten A. Hogervorst | Victor Kallen | Daisuke Kaneko | Alexander Toet,,True,gold,True,True,cc-by,,https://doi.org/10.3389/fpsyg.2020.558172,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.558172/pdf,https://doi.org/10.3389/fpsyg.2020.558172,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.558172/pdf,https://research.utwente.nl/en/publications/e4c296df-5325-42af-8c59-63b26acf51d6 | https://ris.utwente.nl/ws/files/249041041/Kaneko2020emotional.pdf | http://resolver.tudelft.nl/uuid:436d95d9-523f-4b97-a57d-526d5e6f1fd1 | http://publications.tno.nl/publication/34637295/Z0xVbd/kaneko-2020-emotional.pdf | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7545110,https://openalex.org/W3088008565,https://research.utwente.nl/en/publications/e4c296df-5325-42af-8c59-63b26acf51d6,https://ris.utwente.nl/ws/files/249041041/Kaneko2020emotional.pdf,http://www.scopus.com/inward/record.url?scp=85092292809&partnerID=8YFLogxK,,Frontiers in Psychology,1664-1078,,Frontiers Media SA,11,,,,,https://openalex.samuelmok.cc/paper/34757,https://openalex.samuelmok.cc/api/paper/34757,https://openalex.samuelmok.cc/api/pureentry/88750,https://openalex.samuelmok.cc/api/pilotpure/9773
Clearing the Transcription Hurdle in Dialect Corpus Building: The Corpus of Southern Dutch Dialects as Case Study,https://doi.org/10.3389/frai.2020.00010,2020,journal-article,,Statistical Machine Translation and Natural Language Processing | Sociolinguistic Variation and Language Change | Speech Perception and Phonetics | Dialogue Act Modeling for Spoken Language Systems | Speech Recognition Technology,,Arjan van Hessen,HMI,True,False,True,,Arjan van Hessen | Anne Breitbarth | Melissa Farasyn | Anne-Sophie Ghyselen | Jacques Van Keymeulen,,True,gold,False,False,cc-by,,https://doi.org/10.3389/frai.2020.00010,https://www.frontiersin.org/articles/10.3389/frai.2020.00010/pdf,https://doi.org/10.3389/frai.2020.00010,https://www.frontiersin.org/articles/10.3389/frai.2020.00010/pdf,http://hdl.handle.net/1854/LU-8652576 | https://biblio.ugent.be/publication/8652576/file/8658681.pdf | https://biblio.ugent.be/publication/8652576/file/8658681 | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7861295,https://openalex.org/W3009398997,,,,,Frontiers in artificial intelligence,2624-8212,,Elsevier BV,3,,,,,https://openalex.samuelmok.cc/paper/34829,https://openalex.samuelmok.cc/api/paper/34829,,
Toward Enhanced Teleoperation Through Embodiment,https://doi.org/10.3389/frobt.2020.00014,2020,journal-article,,Virtual Presence and Embodiment in VR Research | Tactile Perception and Cross-modal Plasticity | Bilateral Teleoperation in Robotics and Haptics | Computational Principles of Motor Control and Learning | Embodied Cognition and Social Interaction,,Jan B. F. van Erp,HMI,True,False,True,,Irene A. Kuling | Jan B. F. van Erp | Bouke N. Krom | Alexander Toet,,True,gold,True,True,cc-by,,https://doi.org/10.3389/frobt.2020.00014,https://www.frontiersin.org/articles/10.3389/frobt.2020.00014/pdf,https://doi.org/10.3389/frobt.2020.00014,https://www.frontiersin.org/articles/10.3389/frobt.2020.00014/pdf,https://europepmc.org/articles/pmc7805894 | https://europepmc.org/articles/pmc7805894?pdf=render | http://resolver.tudelft.nl/uuid:21dc09d3-810b-4383-bde0-a68a3e7bbb7a | https://publications.tno.nl/publication/34636339/GM9Fv4/toet-2020-toward.pdf | https://research.utwente.nl/en/publications/1ddbdf09-5834-4548-90a3-4ef4012bdb16 | https://research.utwente.nl/files/249040506/Toet2020toward.pdf | https://ris.utwente.nl/ws/files/249040506/Toet2020toward.pdf | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7805894,https://openalex.org/W3006045499,https://research.utwente.nl/en/publications/1ddbdf09-5834-4548-90a3-4ef4012bdb16,https://ris.utwente.nl/ws/files/249040506/Toet2020toward.pdf,,,Frontiers in Robotics and AI,2296-9144,,Frontiers Media SA,7,,,,,https://openalex.samuelmok.cc/paper/34846,https://openalex.samuelmok.cc/api/paper/34846,https://openalex.samuelmok.cc/api/pureentry/90762,https://openalex.samuelmok.cc/api/pilotpure/9776
Differences in Spontaneous Interactions of Autistic Children in an Interaction With an Adult and Humanoid Robot,https://doi.org/10.3389/frobt.2020.00028,2020,journal-article,,,,Vanessa Evers | Dirk Heylen | Dennis Reidsma | Bob R. Schadenberg,HMI,True,False,True,Bob R. Schadenberg,Vanessa Evers | Dirk Heylen | Dennis Reidsma | Bob R. Schadenberg,,True,gold,True,True,cc-by,,https://doi.org/10.3389/frobt.2020.00028,https://www.frontiersin.org/articles/10.3389/frobt.2020.00028/pdf,https://doi.org/10.3389/frobt.2020.00028,https://www.frontiersin.org/articles/10.3389/frobt.2020.00028/pdf,https://europepmc.org/articles/pmc7805683 | https://europepmc.org/articles/pmc7805683?pdf=render | https://research.utwente.nl/en/publications/9da17f9b-a6cb-47f0-a0c1-573afb1bae19 | https://research.utwente.nl/files/177009316/frobt_07_00028.pdf | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7805683,https://openalex.org/W3010460444,https://research.utwente.nl/en/publications/9da17f9b-a6cb-47f0-a0c1-573afb1bae19,https://ris.utwente.nl/ws/files/177009316/frobt_07_00028.pdf,,,Frontiers in Robotics and AI,2296-9144,,Frontiers Media SA,7,,,,,https://openalex.samuelmok.cc/paper/34847,https://openalex.samuelmok.cc/api/paper/34847,https://openalex.samuelmok.cc/api/pureentry/90519,https://openalex.samuelmok.cc/api/pilotpure/10002
An Immersive Self-Report Tool for the Affective Appraisal of 360° VR Videos,https://doi.org/10.3389/frvir.2020.552587,2020,journal-article,,,,Jan B. F. van Erp,HMI,True,False,True,,Jan B. F. van Erp | Anne-Marie Brouwer | Fabienne Heijn | Tina Mioch | Alexander Toet,,True,gold,True,True,cc-by,,https://doi.org/10.3389/frvir.2020.552587,https://www.frontiersin.org/articles/10.3389/frvir.2020.552587/pdf,https://doi.org/10.3389/frvir.2020.552587,https://www.frontiersin.org/articles/10.3389/frvir.2020.552587/pdf,https://research.utwente.nl/en/publications/069d3283-9bfb-4093-9ae0-727f32035a10 | https://research.utwente.nl/files/249040965/Toet2020immersive.pdf | https://research.utwente.nl/en/publications/an-immersive-selfreport-tool-for-the-affective-appraisal-of-360-vr-videos(069d3283-9bfb-4093-9ae0-727f32035a10).html | https://ris.utwente.nl/ws/files/249040965/Toet2020immersive.pdf | http://resolver.tudelft.nl/uuid:fa4f3f95-99a5-496a-a008-74fec9e3eff8 | https://publications.tno.nl/publication/34637294/3BaakW/toet-2020-immersive.pdf,https://openalex.org/W3088571829,https://research.utwente.nl/en/publications/069d3283-9bfb-4093-9ae0-727f32035a10,https://ris.utwente.nl/ws/files/249040965/Toet2020immersive.pdf,,,Frontiers in virtual reality,2673-4192,,,1,,,,,https://openalex.samuelmok.cc/paper/34868,https://openalex.samuelmok.cc/api/paper/34868,https://openalex.samuelmok.cc/api/pureentry/88751,https://openalex.samuelmok.cc/api/pilotpure/9772
An Abstraction Technique for Verifying Shared-Memory Concurrency,https://doi.org/10.3390/app10113928,2020,journal-article,,Distributed Fault Tolerance and Consistency in Systems | Program Analysis and Verification Techniques | Parallel Computing and Performance Optimization | Formal Methods in Software Verification and Control | Real-Time Scheduling in Embedded Systems,,Marieke Huisman,FMT,True,False,True,,Marieke Huisman | Wytse Oortwijn | Dilian Gurov,,True,gold,True,True,cc-by,,https://doi.org/10.3390/app10113928,https://www.mdpi.com/2076-3417/10/11/3928/pdf?version=1592055146,https://doi.org/10.3390/app10113928,https://www.mdpi.com/2076-3417/10/11/3928/pdf?version=1592055146,http://hdl.handle.net/20.500.11850/424796 | https://www.research-collection.ethz.ch/bitstream/20.500.11850/424796/3/applsci-10-03928-v2.pdf | https://research.utwente.nl/en/publications/a15a7de1-be76-49dd-a1ca-2b2edef7bd33 | https://ris.utwente.nl/ws/files/213647315/Oortwijn_2020_An_abstraction_technique_for_verify.pdf,https://openalex.org/W3033222348,https://research.utwente.nl/en/publications/a15a7de1-be76-49dd-a1ca-2b2edef7bd33,https://ris.utwente.nl/ws/files/213647315/Oortwijn_2020_An_abstraction_technique_for_verify.pdf,,,Applied sciences,2076-3417,,MDPI AG,10,11,3928-3928,1,,https://openalex.samuelmok.cc/paper/34897,https://openalex.samuelmok.cc/api/paper/34897,https://openalex.samuelmok.cc/api/pureentry/89769,https://openalex.samuelmok.cc/api/pilotpure/9928
PrimaVera: Synergising Predictive Maintenance,https://doi.org/10.3390/app10238348,2020,journal-article,,Reliability Engineering and Maintenance Optimization | Medical Equipment Maintenance and Management | Software Reliability Assessment and Prediction,,Jan Braaksma | Mariëlle Stoelinga | Tiedo Tinga | Bram Ton,PS | FMT,True,False,True,Mariëlle Stoelinga,Rob Basten | Jan Braaksma | Mariëlle Stoelinga | Tiedo Tinga | Bram Ton | John Bolte | A.A. Di Bucchianico | F.P. Grooteman | Tom Heskes | Nils Jansen | W.B. Teeuw | Philippe van de Calseyde,,True,gold,True,True,cc-by,,https://doi.org/10.3390/app10238348,https://www.mdpi.com/2076-3417/10/23/8348/pdf?version=1606301414,https://doi.org/10.3390/app10238348,https://www.mdpi.com/2076-3417/10/23/8348/pdf?version=1606301414,https://research.utwente.nl/en/publications/17ba775f-d8e9-41ef-a9a7-f914e6fce1ca | https://research.utwente.nl/files/282689116/Ton2020primavera.pdf | https://repository.ubn.ru.nl//bitstream/handle/2066/228202/228202.pdf | https://hdl.handle.net/2066/228202 | https://repository.ubn.ru.nl/bitstream/handle/2066/228202/1/228202.pdf,https://openalex.org/W3109657194,https://research.utwente.nl/en/publications/17ba775f-d8e9-41ef-a9a7-f914e6fce1ca,https://ris.utwente.nl/ws/files/282689116/Ton2020primavera.pdf,,,Applied sciences,2076-3417,,MDPI AG,10,23,8348-8348,1,,https://openalex.samuelmok.cc/paper/34905,https://openalex.samuelmok.cc/api/paper/34905,https://openalex.samuelmok.cc/api/pureentry/88076,https://openalex.samuelmok.cc/api/pilotpure/9814
Automatic Process Comparison for Subpopulations: Application in Cancer Care,https://doi.org/10.3390/ijerph17165707,2020,journal-article,,Data Quality Assessment and Improvement | Semantic Web and Ontology Development | Workflow Mining and Business Process Management | Biomedical Ontologies and Text Mining | Graph Neural Network Models and Applications,,Faiza Allah Bukhsh | Shreyasi Pathak | Christin Seifert | Maurice van Keulen,DMB,True,True,True,Christin Seifert,Faiza Allah Bukhsh | Jeroen Geerdink | Francesca Marazza | Shreyasi Pathak | Christin Seifert | Maurice van Keulen | Onno Vijlbrief,,True,gold,True,True,,,https://doi.org/10.3390/ijerph17165707,https://www.mdpi.com/1660-4601/17/16/5707/pdf,https://doi.org/10.3390/ijerph17165707,https://www.mdpi.com/1660-4601/17/16/5707/pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7460145 | https://dx.doi.org/10.3390/ijerph17165707 | https://www.mdpi.com/1660-4601/17/16/5707/pdf?version=1597023280 | https://research.utwente.nl/en/publications/e3c9f665-a776-4aab-88c8-90fe88a8f0b6 | https://ris.utwente.nl/ws/files/215275791/ijerph_17_05707_v2.pdf,https://openalex.org/W3047817901,https://research.utwente.nl/en/publications/e3c9f665-a776-4aab-88c8-90fe88a8f0b6,https://ris.utwente.nl/ws/files/215275791/ijerph_17_05707_v2.pdf,http://www.scopus.com/inward/record.url?scp=85089405313&partnerID=8YFLogxK,,International Journal of Environmental Research and Public Health,1660-4601,1661-7827,MDPI AG,17,16,5707-5707,1,,https://openalex.samuelmok.cc/paper/35252,https://openalex.samuelmok.cc/api/paper/35252,https://openalex.samuelmok.cc/api/pureentry/89289,https://openalex.samuelmok.cc/api/pilotpure/9923
On the Relation between Beach-Dune Dynamics and Shoal Attachment Processes: A Case Study in Terschelling (NL),https://doi.org/10.3390/jmse8070541,2020,journal-article,,Aeolian Geomorphology and Wind Erosion Dynamics | Coastal Dynamics and Climate Change Impacts | Importance of Mangrove Ecosystems in Coastal Protection,,Suzanne J.M.H. Hulscher | Filipe Galiforni Silva | Kathelijne Mariken Wijnberg,SCS,True,False,True,Filipe Galiforni Silva,Suzanne J.M.H. Hulscher | Filipe Galiforni Silva | Kathelijne Mariken Wijnberg,,True,gold,True,True,cc-by,,https://doi.org/10.3390/jmse8070541,https://www.mdpi.com/2077-1312/8/7/541/pdf?version=1595400205,https://doi.org/10.3390/jmse8070541,https://www.mdpi.com/2077-1312/8/7/541/pdf?version=1595400205,https://research.utwente.nl/en/publications/f254130d-d929-45c5-a806-82aad2fa7774 | https://ris.utwente.nl/ws/files/209741138/10.3390_jmse8070541.pdf,https://openalex.org/W3044324450,https://research.utwente.nl/en/publications/f254130d-d929-45c5-a806-82aad2fa7774,https://ris.utwente.nl/ws/files/209741138/10.3390_jmse8070541.pdf,,,Journal of Marine Science and Engineering,2077-1312,,MDPI AG,8,7,541-541,1,,https://openalex.samuelmok.cc/paper/35424,https://openalex.samuelmok.cc/api/paper/35424,https://openalex.samuelmok.cc/api/pureentry/89376,
A Super-Bagging Method for Volleyball Action Recognition Using Wearable Sensors,https://doi.org/10.3390/mti4020033,2020,journal-article,,Sports Science and Performance Analysis | Economics of Professional Sports and Prediction Markets | Anomaly Detection in High-Dimensional Data | Clustering of Time Series Data and Algorithms | Biomechanical Analysis of Golf Swing Performance,,Dees Postma | Dennis Reidsma | B.-J. van Beijnum | Robby van Delden,HMI,True,True,True,,Dees Postma | Dennis Reidsma | Fahim A. Salim | B.-J. van Beijnum | Robby van Delden | Fasih Haider | Saturnino Luz,,True,gold,True,True,cc-by,,https://doi.org/10.3390/mti4020033,https://www.mdpi.com/2414-4088/4/2/33/pdf?version=1593496564,https://doi.org/10.3390/mti4020033,https://www.mdpi.com/2414-4088/4/2/33/pdf?version=1593496564,https://research.utwente.nl/en/publications/67924cf5-1554-4665-b873-3b26d1a3ccb3 | https://ris.utwente.nl/ws/files/250827503/Haider_2020_A_super_bagging_method_for_volleyba.pdf | https://www.research.ed.ac.uk/en/publications/51a37ecb-ca33-4aaa-b9a9-62b83daa7e0c | https://www.pure.ed.ac.uk/ws/files/156238073/mti_04_00033_v2.pdf,https://openalex.org/W3037307633,https://research.utwente.nl/en/publications/67924cf5-1554-4665-b873-3b26d1a3ccb3,https://ris.utwente.nl/ws/files/250827503/Haider_2020_A_super_bagging_method_for_volleyba.pdf,http://www.scopus.com/inward/record.url?scp=85090733473&partnerID=8YFLogxK,,Multimodal technologies and interaction,2414-4088,,MDPI AG,4,2,33-33,1,,https://openalex.samuelmok.cc/paper/35611,https://openalex.samuelmok.cc/api/paper/35611,https://openalex.samuelmok.cc/api/pureentry/89652,https://openalex.samuelmok.cc/api/pilotpure/9702
Sensory Interactive Table (SIT)—Development of a Measurement Instrument to Support Healthy Eating in a Social Dining Setting,https://doi.org/10.3390/s20092636,2020,journal-article,,User Experience and Design Research in HCI | Multisensory Integration in Human Perception and Cognition | Color Psychology and Product Design | Global Trends in Obesity and Overweight Research | Role of Mediterranean Diet in Health Outcomes,,R. de Vries | Juliet Albertina Maria Haarman | Hermie Hermens | Dirk Heylen,HMI,True,True,True,Juliet Albertina Maria Haarman,R. de Vries | Juliet Albertina Maria Haarman | Emiel Harmsen | Hermie Hermens | Dirk Heylen,,True,gold,True,True,cc-by,,https://doi.org/10.3390/s20092636,https://www.mdpi.com/1424-8220/20/9/2636/pdf?version=1588832855,https://doi.org/10.3390/s20092636,https://www.mdpi.com/1424-8220/20/9/2636/pdf?version=1588832855,https://europepmc.org/articles/pmc7249049 | https://europepmc.org/articles/pmc7249049?pdf=render | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7249049 | https://research.utwente.nl/en/publications/218ff266-2307-4687-886e-cd7edded6627 | https://ris.utwente.nl/ws/files/215012697/sensors_20_02636_v2.pdf,https://openalex.org/W3022983816,https://research.utwente.nl/en/publications/218ff266-2307-4687-886e-cd7edded6627,https://ris.utwente.nl/ws/files/215012697/sensors_20_02636_v2.pdf,http://www.scopus.com/inward/record.url?scp=85084395502&partnerID=8YFLogxK,,Sensors,1424-8220,,MDPI AG,20,9,2636-2636,1,,https://openalex.samuelmok.cc/paper/36078,https://openalex.samuelmok.cc/api/paper/36078,https://openalex.samuelmok.cc/api/pureentry/90064,https://openalex.samuelmok.cc/api/pilotpure/9925
